"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1400000US12083002604","Census Tract 26.04, Marion County, Florida","3859","3371","2921","249","32","40","0","129","488","475","41","77","13","1","317","5","0","0","14","0","0","0","1","4","2","9","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002605","Census Tract 26.05, Marion County, Florida","6848","6556","6209","154","12","75","3","103","292","282","10","58","12","1","177","3","7","0","9","1","0","2","0","2","0","8","1","0","0","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002607","Census Tract 26.07, Marion County, Florida","4021","3538","3103","163","22","19","2","229","483","467","47","79","9","0","320","1","3","0","6","0","0","0","0","0","2","14","2","1","0","5","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002608","Census Tract 26.08, Marion County, Florida","3023","2764","2402","198","16","10","4","134","259","253","10","47","7","3","180","0","0","0","1","0","0","4","0","1","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002609","Census Tract 26.09, Marion County, Florida","2949","2756","2651","49","0","38","0","18","193","190","4","14","0","2","167","0","1","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0",
"1400000US12083002610","Census Tract 26.10, Marion County, Florida","4165","4028","3784","117","15","44","1","67","137","135","4","24","0","0","102","1","1","0","0","1","0","0","0","0","2","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002703","Census Tract 27.03, Marion County, Florida","2695","2545","2155","304","6","23","1","56","150","139","24","23","7","0","73","0","0","0","5","2","0","0","3","2","0","9","1","0","0","4","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002704","Census Tract 27.04, Marion County, Florida","4256","3996","3756","97","27","33","6","77","260","236","27","47","12","2","138","1","0","2","4","0","0","0","2","0","1","15","0","2","0","3","1","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002705","Census Tract 27.05, Marion County, Florida","5422","4961","4556","187","22","35","0","161","461","447","43","86","30","1","253","0","5","0","26","1","0","0","0","0","2","13","8","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083002706","Census Tract 27.06, Marion County, Florida","1216","1132","1068","25","4","5","0","30","84","80","11","17","4","0","45","2","0","0","1","0","0","0","0","0","0","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0",
"1400000US12083980000","Census Tract 9800, Marion County, Florida","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12083980100","Census Tract 9801, Marion County, Florida","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000100","Census Tract 1, Martin County, Florida","2779","2666","2624","3","2","11","0","26","113","107","4","12","5","1","81","0","0","0","0","0","0","4","0","0","0","4","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"1400000US12085000200","Census Tract 2, Martin County, Florida","3626","3447","3258","70","6","47","3","63","179","173","15","30","6","3","113","0","0","0","5","0","0","0","1","0","0","5","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0",
"1400000US12085000300","Census Tract 3, Martin County, Florida","6033","5553","5023","215","15","137","0","163","480","456","40","78","34","5","282","0","1","0","14","1","0","0","0","1","0","18","6","0","1","5","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","4","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0",
"1400000US12085000400","Census Tract 4, Martin County, Florida","7875","7292","6868","128","14","126","1","155","583","560","34","86","66","7","343","5","1","0","8","0","0","6","0","1","3","18","1","3","0","9","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","5","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000501","Census Tract 5.01, Martin County, Florida","4558","4274","4020","115","15","44","0","80","284","269","38","53","4","0","166","2","3","0","1","0","0","0","0","2","0","14","2","2","1","2","2","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US12085000502","Census Tract 5.02, Martin County, Florida","1991","1869","1791","15","3","36","0","24","122","117","5","11","11","0","89","0","0","0","0","0","0","0","0","1","0","5","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000603","Census Tract 6.03, Martin County, Florida","6450","5784","5340","95","19","205","9","116","666","647","57","77","25","3","455","4","3","2","17","2","0","2","0","0","0","19","0","1","0","12","1","0","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000604","Census Tract 6.04, Martin County, Florida","6076","5611","5278","46","12","184","0","91","465","445","29","56","43","0","308","0","0","0","8","0","0","1","0","0","0","15","3","1","0","0","3","0","2","0","5","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","1","1",
"1400000US12085000606","Census Tract 6.06, Martin County, Florida","6615","6069","5645","114","20","171","2","117","546","532","46","57","45","4","363","0","2","1","10","0","0","4","0","0","0","12","0","4","0","2","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"1400000US12085000607","Census Tract 6.07, Martin County, Florida","2720","2607","2532","14","5","27","2","27","113","111","14","16","7","0","70","0","0","0","2","0","0","0","2","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000610","Census Tract 6.10, Martin County, Florida","4022","3735","3612","6","1","61","7","48","287","277","18","48","22","0","187","0","0","0","1","0","0","0","0","0","1","9","1","2","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000701","Census Tract 7.01, Martin County, Florida","1671","1591","1524","24","0","21","0","22","80","73","3","7","6","0","48","1","1","0","2","0","0","5","0","0","0","6","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000702","Census Tract 7.02, Martin County, Florida","2125","2018","1773","191","7","17","0","30","107","98","13","4","9","1","68","0","0","0","2","0","0","1","0","0","0","9","5","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US12085000800","Census Tract 8, Martin County, Florida","2280","2039","1002","930","16","23","1","67","241","227","46","22","4","0","133","3","2","0","12","0","0","0","0","3","2","13","3","1","2","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
